epoch;loss;lr;val_loss
0;0.7638540267944336;0.01;0.489305317401886
1;0.5685754418373108;0.01;0.4339815676212311
2;0.45434677600860596;0.01;0.40469714999198914
3;0.4439949095249176;0.01;0.425467312335968
4;0.32686129212379456;0.0031599998;0.31685778498649597
5;0.3024875819683075;0.0031599998;0.2998233437538147
6;0.29131168127059937;0.0031599998;0.3039604723453522
7;0.256855845451355;0.00099856;0.29272907972335815
8;0.2514919638633728;0.00099856;0.29327651858329773
9;0.24067184329032898;0.00031554495;0.2946837842464447
